Title,Year
Average-case Acceleration for Bilinear Games and Normal Matrices,2021
Human-Level Performance in No-Press Diplomacy via Equilibrium Search,2021
AdaFuse: Adaptive Temporal Fusion Network for Efficient Action Recognition,2021
Estimating Lipschitz constants of monotone deep equilibrium models,2021
EigenGame: PCA as a Nash Equilibrium,2021
Understanding and Improving Encoder Layer Fusion in Sequence-to-Sequence Learning,2021
Cross-Attentional Audio-Visual Fusion for Weakly-Supervised Action Localization,2021
Large-Margin Contrastive Learning with Distance Polarization Regularizer,2021
Multi-Agent Training beyond Zero-Sum with Correlated Equilibrium Meta-Solvers,2021
Acceleration via Fractal Learning Rate Schedules,2021
Generative Particle Variational Inference via Estimation of Functional Gradients,2021
From Poincaré Recurrence to Convergence in Imperfect Information Games: Finding Equilibrium via Regularization,2021
Stabilizing Equilibrium Models by Jacobian Regularization,2021
Optimization of Graph Neural Networks: Implicit Acceleration by Skip Connections and More Depth,2021
The Hintons in your Neural Network: a Quantum Field Theory View of Deep Learning,2021
Exponentially Many Local Minima in Quantum Neural Networks,2021
A Modular Analysis of Provable Acceleration via Polyak's Momentum: Training a Wide ReLU Network and a Deep Linear Network,2021
RNN with Particle Flow for Probabilistic Spatio-temporal Forecasting,2021
Differentiable Particle Filtering via Entropy-Regularized Optimal Transport,2021
Quantum algorithms for reinforcement learning with a generative model,2021
Fast margin maximization via dual acceleration,2021
One Pass Late Fusion Multi-view Clustering,2021
Model Fusion for Personalized Learning,2021
MAU: A Motion-Aware Unit for Video Prediction and Beyond,2021
Analytical Study of Momentum-Based Acceleration Methods in Paradigmatic High-Dimensional Non-Convex Problems,2021
Private learning implies quantum stability,2021
Attention Bottlenecks for Multimodal Fusion,2021
H-NeRF: Neural Radiance Fields for Rendering and Temporal Reconstruction of Humans in Motion,2021
A No-go Theorem for Robust Acceleration in the Hyperbolic Plane,2021
The Inductive Bias of Quantum Kernels,2021
Equilibrium and non-Equilibrium regimes in the learning of Restricted Boltzmann Machines,2021
BayesIMP: Uncertainty Quantification for Causal Data Fusion,2021
Multi-Person 3D Motion Prediction with Multi-Range Transformers,2021
Particle Cloud Generation with Message Passing Generative Adversarial Networks,2021
Robust Regression Revisited: Acceleration and Improved Estimation Rates,2021
Stable Neural ODE with Lyapunov-Stable Equilibrium Points for Defending Against Adversarial Attacks,2021
Differentiable Equilibrium Computation with Decision Diagrams for Stackelberg Models of Combinatorial Congestion Games,2021
Latent Equilibrium: A unified learning theory for arbitrarily fast computation with arbitrarily slow neurons,2021
Action-guided 3D Human Motion Prediction,2021
Learning to dehaze with polarization,2021
Loss function based second-order Jensen inequality and its application to particle variational inference,2021
Parametrized Quantum Policies for Reinforcement Learning,2021
Shape from Blur: Recovering Textured 3D Shape and Motion of Fast Moving Objects,2021
A Geometric Structure of Acceleration and Its Role in Making Gradients Small Fast,2021
Particle Dual Averaging: Optimization of Mean Field Neural Network with Global Convergence Rate Analysis,2021
Training Feedback Spiking Neural Networks by Implicit Differentiation on the Equilibrium State,2021
Redesigning the Transformer Architecture with Insights from Multi-particle Dynamical Systems,2021
Spherical Motion Dynamics: Learning Dynamics of Normalized Neural Network using SGD and Weight Decay,2021
Semialgebraic Representation of Monotone Deep Equilibrium Models and Applications to Certification,2021
NEO: Non Equilibrium Sampling on the Orbits of a Deterministic Transform,2021
Equilibrium Refinement for the Age of Machines: The One-Sided Quasi-Perfect Equilibrium,2021
Minimizing Polarization and Disagreement in Social Networks via Link Recommendation,2021
Unsupervised Motion Representation Learning with Capsule Autoencoders,2021
Reinforcement learning for optimization of variational quantum circuit architectures,2021
Online Market Equilibrium with Application to Fair Division,2021
Global Convergence  to Local Minmax Equilibrium in Classes of Nonconvex Zero-Sum Games,2021
Joint inference and input optimization in equilibrium networks,2021
Reducing Collision Checking for Sampling-Based Motion Planning Using Graph Neural Networks,2021
Three-dimensional spike localization and improved motion correction for Neuropixels recordings,2021
"Damped Anderson Mixing for Deep Reinforcement Learning: Acceleration, Convergence, and Stabilization",2021
Multi-Agent Reinforcement Learning for Active Voltage Control on Power Distribution Networks,2021
PF-GNN: Differentiable particle filtering based approximation of universal graph representations,2022
Critical Points in Quantum Generative Models,2022
An Information Fusion Approach to Learning with Instance-Dependent Label Noise,2022
ProtoRes: Proto-Residual Network for Pose Authoring via Learned Inverse Kinematics,2022
Latent Variable Sequential Set Transformers for Joint Multi-Agent Motion Prediction,2022
Neural Deep Equilibrium Solvers,2022
The Boltzmann Policy Distribution: Accounting for Systematic Suboptimality in Human Models,2022
Optimization inspired Multi-Branch Equilibrium Models,2022
Certified Robustness for Deep Equilibrium Models via Interval Bound Propagation,2022
Declarative nets that are equilibrium models,2022
Particle Stochastic Dual Coordinate Ascent: Exponential convergent algorithm for mean field neural network optimization,2022
Acceleration of Federated Learning with Alleviated Forgetting in Local Training,2022
Deep Neural Network Fusion via Graph Matching with Applications to Model Ensemble and Federated Learning,2022
CerDEQ: Certifiable Deep Equilibrium Model,2022
Hessian-Free High-Resolution Nesterov Acceleration For Sampling,2022
Accurate Quantization of Measures via Interacting Particle-based Optimization,2022
Efficient Model-based Multi-agent Reinforcement Learning via Optimistic Equilibrium Computation,2022
Welfare Maximization in Competitive Equilibrium: Reinforcement Learning for Markov Exchange Economy,2022
Quantum-Inspired Algorithms from Randomized Numerical Linear Algebra,2022
Deep equilibrium networks are sensitive to initialization statistics,2022
Adaptive Inertia: Disentangling the Effects of Adaptive Learning Rate and Momentum,2022
Unsupervised Time-Series Representation Learning with Iterative Bilinear Temporal-Spectral Fusion,2022
Equivariant Quantum Graph Circuits,2022
Feature Space Particle Inference for Neural Network Ensembles,2022
ProxSkip: Yes! Local Gradient Steps Provably Lead to Communication Acceleration! Finally!,2022
Three-stage Evolution and Fast Equilibrium for SGD with Non-degerate Critical Points,2022
Centroid Approximation for Bootstrap: Improving Particle Quality at Inference,2022
