Title,Year
SEPT: Towards Efficient Scene Representation Learning for Motion Prediction,2024
Efficient Score Matching with Deep Equilibrium Layers,2024
Knowledge Fusion of Large Language Models,2024
Rethinking the symmetry-preserving circuits for constrained variational quantum algorithms,2024
Human Motion Diffusion as a Generative Prior,2024
Learning 3D Particle-based Simulators from RGB-D Videos,2024
Parameter-Efficient Multi-Task Model Fusion with Partial Linearization,2024
Fast Equilibrium of SGD in Generic Situations,2024
Energy-conserving equivariant GNN for elasticity of lattice architected metamaterials,2024
Generative Human Motion Stylization in Latent Space,2024
Particle Guidance: non-I.I.D. Diverse Sampling with Diffusion Models,2024
Efficient Video Diffusion Models via Content-Frame Motion-Latent Decomposition,2024
Adaptive Observation Cost Control for Variational Quantum Eigensolvers,2024
Potential Based Diffusion Motion Planning,2024
Nesting Particle Filters for Experimental Design in Dynamical Systems,2024
Medusa: Simple LLM Inference Acceleration Framework with Multiple Decoding Heads,2024
Quantum Implicit Neural Representations,2024
Positive Concave Deep Equilibrium Models,2024
SSL4Q: Semi-Supervised Learning of Quantum Data with Application to Quantum State Classification,2024
GeminiFusion: Efficient Pixel-wise Multimodal Fusion for Vision Transformer,2024
Batch Singular Value Polarization and Weighted Semantic Augmentation for Universal Domain Adaptation,2024
Predictive Dynamic Fusion,2024
Momentum Particle Maximum Likelihood,2024
HumanTOMATO: Text-aligned Whole-body Motion Generation,2024
Identification and Estimation for Nonignorable Missing Data: A Data Fusion Approach,2024
Quantum Algorithms and Lower Bounds for Finite-Sum Optimization,2024
Block Acceleration Without Momentum: On Optimal Stepsizes of Block Gradient Descent for Least-Squares,2024
Minimally Modifying a Markov Game to Achieve Any Nash Equilibrium and Value,2024
PASOA- PArticle baSed Bayesian Optimal Adaptive design,2024
Sparsest Models Elude Pruning: An Exposé of Pruning’s Current Capabilities,2024
Bringing Motion Taxonomies to Continuous Domains via GPLVM on Hyperbolic manifolds,2024
Gibbs Sampling of Continuous Potentials on a Quantum Computer,2024
Stochastic Quantum Sampling for Non-Logconcave Distributions and Estimating Partition Functions,2024
Prototypical Transformer As Unified Motion Learners,2024
Measuring Stochastic Data Complexity with Boltzmann Influence Functions,2024
Provably Efficient Exploration in Quantum Reinforcement Learning with Logarithmic Worst-Case Regret,2024
FreeBind: Free Lunch in Unified Multimodal Space via Knowledge Fusion,2024
Diversified Batch Selection for Training Acceleration,2024
Quantum Theory and Application of Contextual Optimal Transport,2024
Towards Efficient Spiking Transformer: a Token Sparsification Framework for Training and Inference Acceleration,2024
Dissecting Multimodality in VideoQA Transformer Models by Impairing Modality Fusion,2024
Optimal Acceleration for Minimax and Fixed-Point Problems is Not Unique,2024
Iterated Denoising Energy Matching for Sampling from Boltzmann Densities,2024
Deep Fusion: Efficient Network Training via Pre-trained Initializations,2024
"Two Fists, One Heart: Multi-Objective Optimization Based Strategy Fusion for Long-tailed Learning",2024
Position: Opportunities Exist for Machine Learning in Magnetic Fusion Energy,2024
Quantum Positional Encodings for Graph Neural Networks,2024
Path-Guided Particle-based Sampling,2024
Equilibrium of Data Markets with Externality,2024
CHEMREASONER: Heuristic Search over a Large Language Model’s Knowledge Space using Quantum-Chemical Feedback,2024
Quantum Algorithm for Online Exp-concave Optimization,2024
Privacy-Preserving Data Release Leveraging Optimal Transport and Particle Gradient Descent,2024
Subhomogeneous Deep Equilibrium Models,2024
Learning Scale-Aware Spatio-temporal Implicit Representation for Event-based Motion Deblurring,2024
Rotational Equilibrium: How Weight Decay Balances Learning Across Neural Networks,2024
Bootstrapping Fisher Market Equilibrium and First-Price Pacing Equilibrium,2024
Particle Denoising Diffusion Sampler,2024
Practical Hamiltonian Monte Carlo on Riemannian Manifolds via Relativity Theory,2024
Pricing with Contextual Elasticity and Heteroscedastic Valuation,2024
Auctionformer: A Unified Deep Learning Algorithm for Solving Equilibrium Strategies in Auction Games,2024
NeWRF: A Deep Learning Framework for Wireless Radiation Field Reconstruction and Channel Prediction,2024
Deep Equilibrium Models are Almost Equivalent to Not-so-deep Explicit Models for High-dimensional Gaussian Mixtures,2024
QBMK: Quantum-based Matching Kernels for Un-attributed Graphs,2024
Image Fusion via Vision-Language Model,2024
AlterMOMA: Fusion Redundancy Pruning for Camera-LiDAR Fusion Models with Alternative Modality Masking,2024
SfPUEL: Shape from Polarization under Unknown Environment Light,2024
Fourier-enhanced Implicit Neural Fusion Network for Multispectral and Hyperspectral Image Fusion,2024
Text-DiFuse: An Interactive Multi-Modal Image Fusion Framework based on Text-modulated Diffusion Model,2024
Speculative Decoding with CTC-based Draft Model for LLM Inference Acceleration,2024
Suitable is the Best: Task-Oriented Knowledge Fusion in Vulnerability Detection,2024
"M$^3$GPT: An Advanced Multimodal, Multitask Framework  for Motion Comprehension and Generation",2024
Semi-Open 3D Object Retrieval via Hierarchical Equilibrium on Hypergraph,2024
DeltaDEQ: Exploiting Heterogeneous Convergence for Accelerating Deep Equilibrium Iterations,2024
Non-asymptotic Approximation Error Bounds of Parameterized Quantum Circuits,2024
SimVG: A Simple Framework for Visual Grounding with Decoupled Multi-modal Fusion,2024
HEALNet: Multimodal Fusion for Heterogeneous Biomedical Data,2024
MotionGS: Exploring Explicit Motion Guidance for Deformable 3D Gaussian Splatting,2024
Text to Blind Motion,2024
MoMu-Diffusion: On Learning Long-Term Motion-Music Synchronization and Correspondence,2024
Quantum algorithm for large-scale market equilibrium computation,2024
MotionTTT: 2D Test-Time-Training Motion Estimation for 3D Motion Corrected MRI,2024
QVAE-Mole: The Quantum VAE with Spherical Latent Variable Learning for 3-D Molecule Generation,2024
VeXKD: The Versatile Integration of Cross-Modal Fusion and Knowledge Distillation for 3D Perception,2024
Statistical Estimation in the Spiked Tensor Model via the Quantum Approximate Optimization Algorithm,2024
Motion Graph Unleashed: A Novel Approach to Video Prediction,2024
Certified Robustness for Deep Equilibrium Models via Serialized Random Smoothing,2024
Active learning of neural population dynamics using two-photon holographic optogenetics,2024
MotionBooth: Motion-Aware Customized Text-to-Video Generation,2024
Coupled Mamba: Enhanced Multimodal Fusion with Coupled State Space Model,2024
A Motion-aware Spatio-temporal Graph for Video Salient Object Ranking,2024
Differentiable Quantum Computing for Large-scale Linear Control,2024
Association Pattern-aware Fusion for Biological Entity Relationship Prediction,2024
Motion Consistency Model: Accelerating Video Diffusion with Disentangled Motion-Appearance Distillation,2024
Model Fusion through Bayesian Optimization in Language Model Fine-Tuning,2024
Constant Acceleration Flow,2024
Nuclear Fusion Diamond Polishing Dataset,2024
CigTime: Corrective Instruction Generation Through Inverse Motion Editing,2024
Are nuclear masks all you need for improved out-of-domain generalisation? A closer look at cancer classification in histopathology,2024
DHA: Learning Decoupled-Head Attention from Transformer Checkpoints via Adaptive Heads Fusion,2024
The motion planning neural circuit in goal-directed navigation as Lie group operator search,2024
Separation and Bias of Deep Equilibrium Models on Expressivity and Learning Dynamics,2024
Video Diffusion Models are Training-free Motion Interpreter and Controller,2024
AirSketch: Generative Motion to Sketch,2024
End-to-End Video Semantic Segmentation in Adverse Weather using Fusion Blocks and Temporal-Spatial Teacher-Student Learning,2024
FuseFL: One-Shot Federated Learning through the Lens of Causality with Progressive Model Fusion,2024
Integrating GNN and Neural ODEs for Estimating Non-Reciprocal Two-Body Interactions in Mixed-Species Collective Motion,2024
Conditional Controllable Image Fusion,2024
SMART: Scalable Multi-agent Real-time Motion Generation via Next-token Prediction,2024
DEL: Discrete Element Learner for Learning 3D Particle Dynamics with Neural Rendering,2024
Nesterov acceleration despite very noisy gradients,2024
Muscles in Time: Learning to Understand Human Motion In-Depth by Simulating Muscle Activations,2024
FuseMoE: Mixture-of-Experts Transformers for Fleximodal Fusion,2024
bit2bit: 1-bit quanta video reconstruction via self-supervised photon prediction,2024
MoGenTS: Motion Generation based on Spatial-Temporal Joint Modeling,2024
Provable Acceleration of Nesterov's Accelerated Gradient for Asymmetric Matrix Factorization and Linear Neural Networks,2024
Understanding Representation of Deep Equilibrium Models from Neural Collapse Perspective,2024
Accelerating Nash Equilibrium Convergence in Monte Carlo Settings Through Counterfactual Value Based Fictitious Play,2024
NeuralFuse: Learning to Recover the Accuracy of Access-Limited Neural Network Inference in Low-Voltage Regimes,2024
ReVideo: Remake a Video with Motion and Content Control,2024
Bias in Motion: Theoretical Insights into the Dynamics of Bias in SGD Training,2024
HiCoM: Hierarchical Coherent Motion for Dynamic Streamable Scenes with 3D Gaussian Splatting,2024
"CRT-Fusion: Camera, Radar, Temporal Fusion Using  Motion Information  for 3D Object Detection",2024
Exponential Quantum Communication Advantage in Distributed Inference and Learning,2024
Counter-Current Learning: A Biologically Plausible Dual Network Approach for Deep Learning,2024
Deep Equilibrium Algorithmic Reasoning,2024
Quantum Deep Equilibrium Models,2024
Test-Time Dynamic Image Fusion,2024
Reconstructing the Image Stitching Pipeline: Integrating Fusion and Rectangling into a Unified Inpainting Model,2024
Team-Fictitious Play for Reaching Team-Nash Equilibrium in Multi-team Games,2024
UniMTS: Unified Pre-training for Motion Time Series,2024
Learning Cooperative Trajectory Representations for Motion Forecasting,2024
Quadratic Quantum Variational Monte Carlo,2024
E2E-MFD: Towards End-to-End Synchronous Multimodal Fusion Detection,2024
Open LLMs are Necessary for Current Private Adaptations and Outperform their Closed Alternatives,2024
Paths to Equilibrium in Games,2024
Addressing Asynchronicity in Clinical Multimodal Fusion via Individualized Chest X-ray Generation,2024
Infusing Self-Consistency into Density Functional Theory Hamiltonian Prediction via Deep Equilibrium Models,2024
ReMAP: Neural Model Reprogramming with Network Inversion and Retrieval-Augmented Mapping for Adaptive Motion Forecasting,2024
Parameter Symmetry and Noise Equilibrium of Stochastic Gradient Descent,2024
"Universality of AdaGrad Stepsizes for Stochastic Optimization: Inexact Oracle, Acceleration and Variance Reduction",2024
Revisiting motion information for RGB-Event tracking with MOT philosophy,2024
Object segmentation from common fate: Motion energy processing enables human-like zero-shot generalization to random dot stimuli,2024
Quantum Algorithms for Non-smooth Non-convex Optimization,2024
Fair Bilevel Neural Network (FairBiNN): On Balancing fairness and accuracy via Stackelberg Equilibrium,2024
Generalizable Implicit Motion Modeling for Video Frame Interpolation,2024
On Giant's Shoulders: Effortless Weak to Strong by Dynamic Logits Fusion,2024
Rethinking the Power of Timestamps for Robust Time Series Forecasting: A Global-Local Fusion Perspective,2024
Bidirectional Recurrence for Cardiac Motion Tracking with Gaussian Process Latent Coding,2024
E2ENet: Dynamic Sparse Feature Fusion for Accurate and Efficient 3D Medical Image Segmentation,2024
Flow Snapshot Neurons in Action: Deep Neural Networks Generalize to Biological Motion Perception,2024
Learning Superconductivity from Ordered and Disordered Material Structures,2024
Optimal-state Dynamics Estimation for Physics-based Human Motion Capture from Videos,2024
Differentiable Modal Synthesis for Physical Modeling of Planar String Sound and Motion Simulation,2024
GL-NeRF: Gauss-Laguerre Quadrature Enables Training-Free NeRF Acceleration,2024
Particle Semi-Implicit Variational Inference,2024
Enhancing Motion in Text-to-Video Generation with Decomposed Encoding and Conditioning,2024
SOFTS: Efficient Multivariate Time Series Forecasting with Series-Core Fusion,2024
User-Creator Feature Polarization in Recommender Systems with Dual Influence,2024
TrackIME: Enhanced Video Point Tracking via Instance Motion Estimation,2024
Skinned Motion Retargeting with Dense Geometric Interaction Perception,2024
ACFun: Abstract-Concrete Fusion Facial Stylization,2024
Optimizing over Multiple Distributions under Generalized Quasar-Convexity Condition,2024
Improved Particle Approximation Error for Mean Field Neural Networks,2024
E-Motion: Future Motion Simulation via Event Sequence Diffusion,2024
QuanTA: Efficient High-Rank Fine-Tuning of LLMs with Quantum-Informed Tensor Adaptation,2024
Acceleration Exists! Optimization Problems When Oracle Can Only Compare Objective Function Values,2024
Nuclear Norm Regularization for Deep Learning,2024
DeMo: Decoupling Motion Forecasting into  Directional Intentions and Dynamic States,2024
EgoSim: An Egocentric Multi-view Simulator and Real Dataset for Body-worn Cameras during Motion and Activity,2024
$\nabla^2$DFT: A Universal Quantum Chemistry Dataset of Drug-Like Molecules and a Benchmark for Neural Network Potentials,2024
Learning to be Smooth: An End-to-End Differentiable Particle Smoother,2024
Motion Forecasting in Continuous Driving,2024
What is my quantum computer good for? Quantum capability learning with physics-aware neural networks,2024
Self-Distilled Depth Refinement with Noisy Poisson Fusion,2024
Dual-frame Fluid Motion Estimation with Test-time Optimization and Zero-divergence Loss,2024
Transferable Boltzmann Generators,2024
DapperFL: Domain Adaptive Federated Learning with Model Fusion Pruning for Edge Devices,2024
Harmonizing Stochasticity and Determinism: Scene-responsive Diverse Human Motion Prediction,2024
